,,,W6UL342PU,W6UL342PU,W6UL342PU,W6UL342PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL352PU,W6UL352PU,W6UL352PU,W6UL352PU,W6DXML001SU,W6DXML001SU,W6JML121PU,W6JML121PU,W6JML119SU,W6JML119SU,W6UML357SU,W6UML357SU,W6RML420SU,W6RML420SU,W6UGK243PU,W6UGK243PU,W6UGK243PU,W6UGK243PU
,,,BL,BL,CA,CA,BL,BL,TP,TP,BL,BL,NA,NA,BL,BR,BL,MA,BL,NA,BL,PL,BL,TP,MA,MA,CA,CA
,,,A,D,A,D,A,D,A,D,A,D,A,D,D,D,D,D,D,D,D,D,D,D,K124,K134,K124,K134
RF1,RANDFONTEIN,11,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
VL1,VILLAGE SQUARE,11,,,,,1,,1,,1,,,,,,,,1,1,1,1,1,1,,,,
PS2,PRESIDENT SQUARE COMBO,11,,,,,1,,1,,1,,,,,,,,1,1,1,1,1,1,,,,
BEL,BEL AIRE,11,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
RR1,RANDRIDGE MALL,11,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
KGS,KAGISO SHOPRITE,11,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
DK2,DIEPKLOOF,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
SO1,SOUTHGATE MALL,12,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
JB1,JABULANI MALL,12,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
MP1,MAPONYA MALL COMBO,12,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
DO1,DOBSONVILLE SHOPPING CENTRE,12,1,,1,,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,
SO2,SOUTHGATE MALL COMBO,12,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
PD1,PROTEA GARDENS,12,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
MP2,MAPONYA MALL SHOES,12,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
NF1,NDOFAYA,12,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
PG1,PROTEA GLEN,12,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
BN1,BARA MALL,12,,,,,,,,,,,,,1,1,,,,,,,,,,,,
VM2,VAAL MALL,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
SAS,SASOLBURG JUNCTION,13,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
MR1,MARK PARK,13,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
EV1,EVATON PLAZA,13,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
EV2,EVATON  COMBO,13,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
TR1,TRADE ROUTE MALL,13,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
RS1,RIVERS SQUARE,13,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
TH2,THABONG COMBO,13,1,,1,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,1,
EOC,EYETHU CLOTHING,13,1,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
VT1,VAAL GATE,13,1,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
AR1,ARCON PLAZA,13,,,,,1,,1,,1,,,,,,,,1,1,1,1,1,1,,,,
EOF,EYETHU- ORANGE FARM,13,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
TH1,THABONG,13,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
SBC,SEBOKENG PLAZA COMBO 2,13,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
SBK,SEBOKENG PLAZA 1,13,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
BE1,BEDWORTH,13,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
EA1,EVAGOLD CENTRE,13,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
HS1,HANS STRYDOM,13,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
EF1,ENNERDALE,13,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
VJ1,VANDERBIJL CHECKERS,13,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
PHV,PRESIDENT HYPER VALL,13,,,,,,,,,,,,,1,1,,,,,,,,,,,,
WP2,WONDERPARK COMBO NEW,14,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
BK1,BROOKLYN MALL,14,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
QG1,QUAGGA,14,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
OH1,OLIVENHOUTBOSCH,14,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
WB1,WONDERBOOM JUNCTION,14,,,,,,,,,,,,,1,1,,,,,,,,,,,,
CY2,CENTRAL CITY 2,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1
AN1,ATTLYN,15,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
CY1,CENTRAL CITY,15,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
SCC,SOSHANGUVE CROSSING COMBO,15,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
SCR,SOSHANGUVE CROSSING,15,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
TE2,TEMBA CITY COMBO,15,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
TT1,THORNTREE,15,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
SPC,SOSHANGUVE PLAZA COMBO,15,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
RN1,RENBRO CENTRE,15,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
SPP,SOSHANGUVE PICK N PAY,15,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
JU1,JUBILEE CLOTHES,16,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
JD1,MARIKANA SHOPRITE CENTRE,16,1,,1,,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,
